asin,description,about,aplus
B09NPWC1NT,,,
B01GSOMVRG,,,
B089CLS8ZG,,,
B005GXPOCK,,,
B003VWXZQ0,,,
B00JBKVN8S,,,
B07XYYPHVP,,,
B01E4LWBLQ,,,
B0B6GTVZFH,,,
B07PXFDBVR,,,
B08BNNV3JY,,,
B09G2979JS,,,
B07Z86PHP8,,,
B0BHDST7ZM,,,
B0BWNHQ22Y,,,
B0BHDSRYFY,,,
B06X99NFJ2,,,
B0B413BTRV,,,
B0BSDRLP2W,,,
B084LMTR98,,"About this item    Works with 50+ materials, including popular materials like vinyl, iron-on & cardstock    Cuts intricate designs with precision    Writes, draws & foils    Free, easy-to-learn Design Space app    Bluetooth wireless technology    Upload & cut your own designs or choose from the Cricut Design Space library    Free live workshops, online courses & beginner cheatsheets    World-class customer support is available via phone or chat",
B0BHDS2D7G,,,
B0BHDR5DTM,,,
B07C7HNX92,,,
B00JJ6L6PY,,,
B00006IA9F,,,
B07QQ3L753,,,
B01BRGU8R0,,,
B076CP6F36,,,
B08BH5GTNC,,,
B07KPB38LK,,,
B0B3NHMDST,,,
B00OZWX100,,,
B07D4J1MQ4,,,
B09YRJ8NRF,,,
B089Q6T4TK,,,
B0043H9FMU,,,
B09ZGKJVZB,,,
B06XNS3C5J,,"About this item    MACHINE BUNDLE: Cricut Explore Air 2 Machine bundle with tool kit and vinyl in assorted colors. Air 2 die-cutting machine cuts variety of materials from paper, iron-on and felt, making personalized diy home decor, indoor decals, wall signs, and more!    USER-FRIENDLY: Machine has built-in Bluetooth for wireless cutting, writing, and scoring. Smart Set dial adjusts to material. Upload images (.svg .jpg .png .bmp .gif) to Cricut Design Space online with an iPad app, computer, tablet, or smartphone.    ACCESSORIES: Tool Kit contains Spatula, Weeder, Scraper, Scissors, and Tweezers. 9x12 inch sheets (8) Cricut Vinyl (colors vary) and 9x12 inch sheets (2) Transfer Paper, (5) medium point pens in varying colors.    BONUS: Getting Started Guide an electronic format e-book for beginner Cricut Explore Air 2 users. Tutorials and projects will help you create your first project! Digital guide will be emailed to you in PDF format (a printed copy is not available).    INCLUDES: Cricut Air 2 Machine; Blade; Accessory Adapter; USB cord US Power Cord. Starter guide; Pen, 12x12 LightGrip; Tool Kit; 8 sheets vinyl, 4 Glitter IO Sheets, 2 transfer; Pen Set, 12 Vinyl Designs (digital); Vinyl inspiration ebook (digital).",
B0008G8G8Y,,,
B0BXL76NGT,,,
B07Q4K1HRJ,,,
B004RDH7Y8,,,
B07VKPZS24,,,
B07H3QKN2Z,,,
B00CIV668E,,,
B07YH4DSPL,,,
B083XF296R,,,
B0BVKSFFK7,,,
B09X9DPDBQ,,,
B09NYBVBDF,,,
B00EKT30JK,,,
B01LBVYQ6U,,,
